id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement
7129300520,20141013T000000,221900,3,1,1180,5650,1180,0
6414100192,20141209T000000,538000,3,2.25,2570,7242,2170,400
5631500400,20150225T000000,180000,2,1,770,10000,770,0
2487200875,20141209T000000,604000,4,3,1960,5000,1050,910
1954400510,20150218T000000,510000,3,2,1680,8080,1680,0
7237550310,20140512T000000,1.23E+06,4,4.5,5420,101930,3890,1530
1321400060,20140627T000000,257500,3,2.25,1715,6819,1715,0
2008000270,20150115T000000,291850,3,1.5,1060,9711,1060,0
2414600126,20150415T000000,229500,3,1,1780,7470,1050,730
3793500160,20150312T000000,323000,3,2.5,1890,6560,1890,0
1736800520,20150403T000000,662500,3,2.5,3560,9796,1860,1700
9212900260,20140527T000000,468000,2,1,1160,6000,860,300
114101516,20140528T000000,310000,3,1,1430,19901,1430,0
6054650070,20141007T000000,400000,3,1.75,1370,9680,1370,0
1175000570,20150312T000000,530000,5,2,1810,4850,1810,0
9297300055,20150124T000000,650000,4,3,2950,5000,1980,970
1875500060,20140731T000000,395000,3,2,1890,14040,1890,0
6865200140,20140529T000000,485000,4,1,1600,4300,1600,0
16000397,20141205T000000,189000,2,1,1200,9850,1200,0
7983200060,20150424T000000,230000,3,1,1250,9774,1250,0
6300500875,20140514T000000,385000,4,1.75,1620,4980,860,760
2524049179,20140826T000000,2.00E+06,3,2.75,3050,44867,2330,720
7137970340,20140703T000000,285000,5,2.5,2270,6300,2270,0
8091400200,20140516T000000,252700,2,1.5,1070,9643,1070,0
3814700200,20141120T000000,329000,3,2.25,2450,6500,2450,0
1202000200,20141103T000000,233000,3,2,1710,4697,1710,0
1794500383,20140626T000000,937000,3,1.75,2450,2691,1750,700
3303700376,20141201T000000,667000,3,1,1400,1581,1400,0
5101402488,20140624T000000,438000,3,1.75,1520,6380,790,730
1873100390,20150302T000000,719000,4,2.5,2570,7173,2570,0
8562750320,20141110T000000,580500,3,2.5,2320,3980,2320,0
2426039314,20141201T000000,280000,2,1.5,1190,1265,1190,0
461000390,20140624T000000,687500,4,1.75,2330,5000,1510,820
7589200193,20141110T000000,535000,3,1,1090,3000,1090,0
7955080270,20141203T000000,322500,4,2.75,2060,6659,1280,780
9547205180,20140613T000000,696000,3,2.5,2300,3060,1510,790
9435300030,20140528T000000,550000,4,1,1660,34848,930,730
2768000400,20141230T000000,640000,4,2,2360,6000,2360,0
7895500070,20150213T000000,240000,4,1,1220,8075,890,330
2078500320,20140620T000000,605000,4,2.5,2620,7553,2620,0
5547700270,20140715T000000,625000,4,2.5,2570,5520,2570,0
7766200013,20140811T000000,775000,4,2.25,4220,24186,2600,1620
7203220400,20140707T000000,861990,5,2.75,3595,5639,3595,0
9270200160,20141028T000000,685000,3,1,1570,2280,1570,0
1432701230,20140729T000000,309000,3,1,1280,9656,920,360
8035350320,20140718T000000,488000,3,2.5,3160,13603,3160,0
8945200830,20150325T000000,210490,3,1,990,8528,990,0
4178300310,20140716T000000,785000,4,2.5,2290,13416,2290,0
9215400105,20150428T000000,450000,3,1.75,1250,5963,1250,0
822039084,20150311T000000,1.35E+06,3,2.5,2753,65005,2165,588
5245600105,20140916T000000,228000,3,1,1190,9199,1190,0
7231300125,20150217T000000,345000,5,2.5,3150,9134,1640,1510
7518505990,20141231T000000,600000,3,1.75,1410,4080,1000,410
3626039271,20150205T000000,585000,2,1.75,1980,8550,990,990
4217401195,20150303T000000,920000,5,2.25,2730,6000,2130,600
9822700295,20140512T000000,885000,4,2.5,2830,5000,2830,0
9478500640,20140819T000000,292500,4,2.5,2250,4495,2250,0
2799800710,20150407T000000,301000,3,2.5,2420,4750,2420,0
7922800400,20140827T000000,951000,5,3.25,3250,14342,3250,0
8079040320,20150223T000000,430000,4,3,1850,9976,1850,0
1516000055,20141210T000000,650000,3,2.25,2150,21235,1590,560
9558200045,20140828T000000,289000,3,1.75,1260,8400,1260,0
5072410070,20141021T000000,505000,3,1.75,2519,8690,2519,0
9528102996,20141207T000000,549000,3,1.75,1540,1044,1540,0
1189001180,20140603T000000,425000,3,2.25,1660,6000,1110,550
3253500160,20141120T000000,317625,3,2.75,2770,3809,1770,1000
3394100030,20140909T000000,975000,4,2.5,2720,11049,2720,0
3717000160,20141009T000000,287000,4,2.5,2240,4648,2240,0
1274500060,20140825T000000,204000,3,1,1000,12070,1000,0
1802000060,20140612T000000,1.33E+06,5,2.25,3200,20158,1600,1600
1525059190,20140912T000000,1.04E+06,5,3.25,4770,50094,3070,1700
1049000060,20150105T000000,325000,3,2,1260,5612,1260,0
8820901275,20140610T000000,571000,4,2,2750,7807,2250,500
5416510140,20140710T000000,360000,4,2.5,2380,5000,2380,0
3444100400,20150316T000000,349000,3,1.75,1790,50529,1090,700
3276920270,20141105T000000,832500,4,4,3430,35102,2390,1040
4036801170,20141013T000000,380000,4,1.75,1760,7300,880,880
2391600320,20150420T000000,480000,3,1,1040,5060,1040,0
6300000287,20140609T000000,410000,3,1,1410,5060,910,500
1531000030,20150323T000000,720000,4,2.5,3450,39683,3450,0
5104520400,20141202T000000,390000,3,2.5,2350,5100,2350,0
7437100340,20141222T000000,360000,4,2.5,1900,5889,1900,0
9418400240,20141028T000000,355000,2,1,2020,6720,1010,1010
1523059105,20150128T000000,356000,3,1.5,1680,8712,1680,0
1133000671,20140602T000000,315000,3,1,960,6634,960,0
4232902595,20141114T000000,940000,3,1.5,2140,3600,1900,240
2599001200,20141103T000000,305000,5,2.25,2660,8400,2660,0
3342103156,20140618T000000,461000,3,3.25,2770,6278,1980,790
1332700270,20140519T000000,215000,2,2.25,1610,2040,1610,0
3869900162,20140904T000000,335000,2,1.75,1030,1066,765,265
2791500270,20140522T000000,243500,4,2.5,1980,7403,1980,0
5036300431,20150311T000000,1.10E+06,5,2.75,3520,6353,3520,0
4168000060,20150226T000000,153000,3,1,1200,10500,1200,0
6021501535,20140725T000000,430000,3,1.5,1580,5000,1290,290
6021501535,20141223T000000,700000,3,1.5,1580,5000,1290,290
1483300570,20140908T000000,905000,4,2.5,3300,10250,2390,910
3422049190,20150330T000000,247500,3,1.75,1960,15681,1960,0
1099611230,20140912T000000,199000,4,1.5,1160,6400,1160,0
722079104,20140711T000000,314000,3,1.75,1810,41800,1210,600
7338200240,20140516T000000,437500,3,2.5,2320,36847,2320,0
1952200240,20140611T000000,850830,3,2.5,2070,13241,1270,800
5200100125,20141027T000000,555000,3,2,1980,3478,1440,540
7214720075,20141212T000000,699950,3,2.25,2190,107593,2190,0
2450000295,20141007T000000,1.09E+06,3,2.5,2920,8113,2920,0
6197800045,20140924T000000,290000,3,1,1210,33919,1210,0
1328310370,20150402T000000,375000,3,2.5,2340,10005,1460,880
546000875,20140523T000000,460000,3,1,1670,4005,1170,500
3530510041,20140723T000000,188500,2,1.75,1240,2493,1240,0
1853000400,20150305T000000,680000,4,2.5,3140,28037,3140,0
3134100116,20140827T000000,470000,5,1.75,2030,12342,2030,0
9545230140,20140725T000000,597750,4,2.5,2310,9624,2310,0
3362400511,20150304T000000,570000,3,1.75,1260,3328,700,560
2525310310,20140916T000000,272500,3,1.75,1540,12600,1160,380
6126500060,20141124T000000,329950,3,1.75,2080,5969,1080,1000
8961960160,20141028T000000,480000,4,2.5,3230,16171,2520,710
3626039325,20141121T000000,740500,3,3.5,4380,6350,2780,1600
3362400431,20140626T000000,518500,3,3.5,1590,1102,1590,0
4060000240,20140623T000000,205425,2,1,880,6780,880,0
3454800060,20150108T000000,171800,4,2,1570,9600,1570,0
1695900060,20150511T000000,535000,4,1,1610,2982,1610,0
7278700070,20150102T000000,660000,3,2.5,2400,6474,1560,840
6675500070,20141119T000000,391500,3,2,1450,9132,1450,0
3626039187,20150406T000000,395000,2,1,770,6000,770,0
3524049083,20141104T000000,445000,4,1.75,2100,4400,1720,380
3275860240,20140618T000000,770000,3,2.25,2910,10204,2910,0
4389200955,20150302T000000,1.45E+06,4,2.75,2750,17789,1980,770
4058801670,20140717T000000,445000,3,2.25,2100,8201,1620,480
8732020310,20140717T000000,260000,4,2.25,2160,8811,1360,800
2331300505,20140613T000000,822500,5,3.5,2320,4960,1720,600
7853210060,20150406T000000,430000,4,2.5,2070,4310,2070,0
3668000070,20150105T000000,212000,3,1.75,1060,7875,1060,0
9545240070,20150428T000000,660500,4,2.25,2010,9603,1440,570
1243100136,20140612T000000,784000,3,3.5,3950,111078,2460,1490
8929000270,20140512T000000,453246,3,2.5,2010,2287,1390,620
2767602356,20150126T000000,675000,4,3.5,2140,2278,2140,0
921049315,20140813T000000,199000,3,1.75,1320,17390,1320,0
3655000070,20140805T000000,220000,4,1.75,2020,7840,1010,1010
4027700812,20140529T000000,452000,4,2.25,2590,10002,1340,1250
3992700335,20140707T000000,382500,2,1,1190,4440,1190,0
2767603505,20140507T000000,519950,3,2.25,1170,1249,1170,0
4232901525,20140627T000000,665000,2,1,1110,3200,1110,0
1777500060,20140708T000000,527700,5,2.5,2820,9375,1550,1270
1432900240,20150508T000000,205000,3,1,1610,8579,1010,600
6140100875,20150415T000000,420000,3,1,1060,8097,940,120
6071600370,20150227T000000,500000,4,2.25,2030,8517,1380,650
1526069017,20141203T000000,921500,4,2.5,3670,315374,3670,0
809001525,20140625T000000,890000,4,1,2550,4000,2370,180
3224079105,20140806T000000,430000,2,2.5,2420,60984,2420,0
8075400570,20141030T000000,258000,5,2,2260,12500,1130,1130
1994200024,20141104T000000,511000,3,1,1430,3455,980,450
3362900810,20140820T000000,532170,3,2,1360,3090,1360,0
1324300398,20150409T000000,560000,3,1,1110,5000,1110,0
537000445,20150331T000000,282950,3,1,1250,8200,1250,0
7855801670,20150401T000000,2.25E+06,4,3.25,5180,19850,3540,1640
7920100045,20140516T000000,350000,1,1,700,5100,700,0
8960000030,20140728T000000,215000,3,1,1180,7669,1180,0
6388930390,20141120T000000,650000,5,3.5,3960,25245,2500,1460
8731900200,20140807T000000,320000,4,2.75,2640,7500,1620,1020
8029200135,20141113T000000,247000,3,2,1270,7198,1270,0
